date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2025-10-21,sz.000009,10.9,11.08,10.81,10.94,42539714,465216635.44,1.6514,0.7366,0,0
2025-10-22,sz.000009,10.88,10.88,10.62,10.73,26077319,279825384.74,1.0123,-1.9196,0,0
2025-10-23,sz.000009,10.92,11.2,10.82,11.01,73019901,803643936.25,2.8346,2.6095,0,0
2025-10-24,sz.000009,10.99,11.08,10.83,10.97,45099236,494086704.05,1.7507,-0.3633,0,0
2025-10-27,sz.000009,11.08,11.1,10.8,10.89,43528896,475902200.14,1.6898,-0.7293,0,0
2025-10-28,sz.000009,10.86,10.94,10.75,10.8,36165218,392290654.2,1.4039,-0.8264,0,0
2025-10-29,sz.000009,10.75,11.24,10.72,11.22,51042092,564044669.04,1.9814,3.8889,0,0
2025-10-30,sz.000009,11.23,11.43,11.12,11.17,51762463,583129791.37,2.0094,-0.4456,0,0
2025-10-31,sz.000009,11.06,11.7,11.03,11.46,83083904,953012436.61,3.2253,2.5962,0,0
2025-11-03,sz.000009,11.4,11.4,10.95,11.19,53636828,596661875.65,2.0822,-2.356,0,0
2025-11-04,sz.000009,11.18,11.22,10.8,10.9,37944965,416601289.13,1.473,-2.5916,0,0
2025-11-05,sz.000009,10.65,11.2,10.64,10.97,49036947,539752606.03,1.9036,0.6422,0,0
2025-11-06,sz.000009,11.0,11.1,10.83,10.95,32472855,355647565.85,1.2606,-0.1823,0,0
2025-11-07,sz.000009,10.87,11.3,10.78,11.19,57450858,638567534.27,2.2302,2.1918,0,0
2025-11-10,sz.000009,11.29,11.49,11.13,11.25,53359523,602559530.27,2.0714,0.5362,0,0
2025-11-11,sz.000009,11.25,11.5,11.16,11.32,43567856,493432822.38,1.6913,0.6222,0,0
2025-11-12,sz.000009,11.25,11.26,10.85,11.01,48592868,533663278.28,1.8864,-2.7385,0,0
2025-11-13,sz.000009,11.01,11.58,11.01,11.39,75644220,860699666.45,2.9365,3.4514,0,0
